Episode,Time,StateHash,Action,Reward,OldQ,NewQ,Delta
2,1492.1,108,HideSpotCheck,0.30,0.285,0.340,0.0547
2,1501.9,108,SweepArea,-0.25,-0.012,-0.065,-0.0528
2,1503.9,144,HideSpotCheck,0.23,-0.241,-0.073,0.1682
2,1505.9,144,HideSpotCheck,0.23,-0.073,0.044,0.1172
2,1547.5,144,Patrol,-0.32,-0.509,-0.447,0.0615
2,1551.4,144,HideSpotCheck,0.38,0.044,0.168,0.1238
2,1551.7,144,HideSpotCheck,1.00,0.168,0.443,0.2749
2,1552.1,144,HideSpotCheck,1.00,0.443,0.637,0.1939
2,1554.7,144,HideSpotCheck,1.02,0.637,0.774,0.1368
2,1555.1,144,HideSpotCheck,0.76,0.774,0.793,0.0193
2,1555.4,144,HideSpotCheck,0.66,0.793,0.775,-0.0179
2,1555.8,144,HideSpotCheck,-0.04,0.775,0.548,-0.2267
2,1556.2,144,HideSpotCheck,-0.30,0.548,0.313,-0.2354
2,1556.5,144,HideSpotCheck,-0.55,0.313,0.072,-0.2410
2,1556.8,144,HideSpotCheck,-0.80,0.072,-0.173,-0.2449
2,1557.1,144,HideSpotCheck,-1.06,-0.173,-0.420,-0.2476
2,1557.4,144,HideSpotCheck,-1.31,-0.420,-0.670,-0.2495
2,1557.7,144,HideSpotCheck,-1.56,-0.670,-0.921,-0.2508
2,1558.0,144,HideSpotCheck,-1.82,-0.921,-1.172,-0.2518
2,1558.3,144,HideSpotCheck,10.00,-1.172,2.179,3.3517
3,1558.3,144,HideSpotCheck,-0.42,2.179,1.419,-0.7606
3,1558.7,120,Patrol,1.00,0.091,0.387,0.2961
3,1559.2,120,Patrol,1.00,0.387,0.593,0.2067
3,1559.5,120,Patrol,0.99,0.593,0.734,0.1408
3,1559.9,120,Patrol,-0.47,0.734,0.397,-0.3377
3,1575.1,90,InvestigateLastHeard,-0.50,0.080,0.101,0.0205
3,1586.3,144,HideSpotCheck,0.14,1.419,1.274,-0.1449
3,1597.1,144,HideSpotCheck,0.42,1.274,1.078,-0.1961
3,1597.8,108,HideSpotCheck,1.00,0.340,0.563,0.2229
3,1598.3,108,HideSpotCheck,0.89,0.563,0.687,0.1238
3,1601.2,108,HideSpotCheck,0.76,0.687,0.731,0.0439
3,1601.5,108,HideSpotCheck,0.66,0.731,0.727,-0.0034
3,1601.8,108,HideSpotCheck,-0.05,0.727,0.514,-0.2136
3,1602.1,108,HideSpotCheck,-0.30,0.514,0.288,-0.2259
3,1602.5,108,HideSpotCheck,-0.55,0.288,0.053,-0.2344
3,1602.8,108,HideSpotCheck,-0.81,0.053,-0.187,-0.2403
3,1603.1,108,HideSpotCheck,-1.06,-0.187,-0.431,-0.2444
3,1603.4,108,HideSpotCheck,-1.31,-0.431,-0.679,-0.2472
3,1603.6,108,HideSpotCheck,-1.57,-0.679,-0.928,-0.2491
3,1604.0,108,HideSpotCheck,-1.82,-0.928,-1.178,-0.2506
3,1604.4,108,HideSpotCheck,-2.07,-1.178,-1.430,-0.2520
3,1604.7,108,HideSpotCheck,-2.33,-1.430,-1.683,-0.2526
3,1605.0,108,HideSpotCheck,-2.58,-1.683,-1.936,-0.2530
3,1605.3,108,HideSpotCheck,-2.83,-1.936,-2.189,-0.2533
3,1605.6,108,HideSpotCheck,-3.09,-2.189,-2.443,-0.2535
3,1605.9,108,HideSpotCheck,-3.34,-2.443,-2.696,-0.2536
3,1606.2,108,HideSpotCheck,-3.59,-2.696,-2.950,-0.2537
3,1606.5,108,HideSpotCheck,-3.84,-2.950,-3.204,-0.2537
3,1606.8,108,HideSpotCheck,-4.10,-3.204,-3.457,-0.2537
