episodeId,seed,scenarioId,mode,startTime,endTime,duration,terminationReason,success,timeToCapture,totalReward,epsilonUsed,action0_count,action1_count,action2_count,action3_count,action4_count,action5_count,action6_count,action7_count,action0_time,action1_time,action2_time,action3_time,action4_time,action5_time,action6_time,action7_time,uniqueStatesVisited,firstContactTime,tdErrorMean,useLearning,useHeat
164,-529993827,default,TRAIN,50854.97,51228.34,373.3711,QUEST_COMPLETE,0,-1,0,0.1325207,6,1,0,10,5,1,3,0,206.6602,4.449219,0,113.3047,1.214844,7.578125,31.87109,0,0,-1,0.6856092,1,1
165,-529993827,default,TRAIN,51229.45,51833.47,604.0234,CAPTURE,0,-1,0,0.1318581,9,0,0,7,0,12,0,0,356.8438,0,0,93.9375,0,141.7266,0,0,0,-1,0.7606558,1,1
166,-529993827,default,TRAIN,51834.67,51863.65,28.98047,CAPTURE,0,-1,0,0.1311988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3.593676,1,1
167,-529993827,default,TRAIN,51864.86,51961.69,96.83203,CAPTURE,0,-1,0,0.1305428,1,0,0,1,4,0,0,0,41.16406,0,0,5.082031,33.31641,0,0,0,0,-1,1.099161,1,1
168,-529993827,default,TRAIN,51962.96,52040.01,77.04688,CAPTURE,0,-1,0,0.1298901,2,0,0,1,0,0,0,0,28.98047,0,0,8.035156,0,0,0,0,0,-1,0.6586493,1,1
169,-529993827,default,TRAIN,52041.25,52449.02,407.7695,QUEST_COMPLETE,0,-1,0,0.1292406,7,0,0,18,0,0,0,0,253.4336,0,0,120.5352,0,0,0,0,0,-1,0.3961346,1,1
170,-529993827,default,TRAIN,52450.13,52963.82,513.6953,QUEST_COMPLETE,0,-1,0,0.1285944,3,2,0,7,5,7,14,0,115.4258,6.898438,0,111.6641,55.85156,93.23047,111.3828,0,0,-1,0.5152434,1,1
171,-529993827,default,TRAIN,52964.97,53030.64,65.67188,CAPTURE,0,-1,0,0.1279514,1,0,0,0,0,0,3,0,42.69141,0,0,0,0,0,8.3125,0,0,-1,2.368877,1,1
172,-529993827,default,TRAIN,53031.88,53103.75,71.875,CAPTURE,0,-1,0,0.1273117,1,0,0,3,0,0,0,0,45.20313,0,0,20.29297,0,0,0,0,0,-1,2.818695,1,1
173,-529993827,default,TRAIN,53104.77,53535.5,430.7266,CAPTURE,0,-1,0,0.1266751,9,1,0,8,0,1,2,0,287.7969,5.039063,0,81.06641,0,10.42188,25.38281,0,0,-1,0.5019309,1,1
