Time,DecisionType,Winner,WinnerScore,CandidateCount,Top5Candidates
77626,4,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
77639,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
77656,0,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
77956,9,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
77970,3,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
77986,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
78003,2,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
78019,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
78035,8,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
78060,8,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
78069,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
78248,2,Patrol,R7,0,597,10,R7(0,60)|R2(0,59)|R4(0,58)|HUB(0,58)|EXIT(0,58)|
78493,7,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
78509,0,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
78515,5,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
78521,7,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
78527,9,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
78534,1,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
78557,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
78588,3,Patrol,HUB,0,592,10,HUB(0,59)|R1(0,58)|R5(0,58)|C1(0,58)|R7(0,58)|
78602,6,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
78619,0,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
78658,0,Patrol,HUB,0,590,10,HUB(0,59)|R7(0,58)|R4(0,58)|R5(0,58)|R2(0,58)|
78674,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
78690,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
78783,4,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
78806,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
78814,9,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
78823,5,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
78860,7,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
78883,7,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
78892,4,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
78901,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
78910,1,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
78918,7,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
78927,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
79082,7,Patrol,R7,0,596,10,R7(0,60)|R2(0,59)|R4(0,59)|HUB(0,58)|EXIT(0,58)|
79108,6,Patrol,R7,0,590,10,R7(0,59)|R2(0,59)|HUB(0,58)|C1(0,58)|R4(0,58)|
79142,5,Patrol,HUB,0,588,10,HUB(0,59)|R7(0,59)|R4(0,58)|R2(0,58)|R5(0,58)|
79156,1,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
79366,0,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
79465,9,Patrol,R4,0,592,10,R4(0,59)|R7(0,59)|R2(0,58)|HUB(0,58)|EXIT(0,58)|
79471,1,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
79477,7,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
79484,7,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
79508,4,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
79569,4,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,59)|R7(0,58)|R4(0,58)|R2(0,58)|
79584,6,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
79600,7,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
79616,9,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
79633,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
79729,4,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R7(0,58)|R1(0,58)|R2(0,58)|
79742,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
79759,0,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
79774,9,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
79819,9,Patrol,HUB,0,587,10,HUB(0,59)|R7(0,59)|R4(0,58)|R2(0,58)|R5(0,58)|
79838,0,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
79854,1,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
79870,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
79924,0,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
79975,8,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
79998,1,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
80008,4,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
80035,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
80083,0,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
80163,4,Patrol,R7,0,596,10,R7(0,60)|R2(0,59)|R4(0,59)|HUB(0,58)|EXIT(0,58)|
80443,0,Patrol,HUB,0,590,10,HUB(0,59)|R7(0,58)|R5(0,58)|R4(0,58)|R2(0,58)|
80445,5,Patrol,HUB,0,593,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
80572,6,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
80586,0,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
80602,3,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
80618,6,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
80634,8,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
80651,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
80676,8,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
80685,2,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
80694,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
81402,1,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
81423,8,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
81439,1,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
81440,5,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
81442,0,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
81544,6,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
81559,1,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
81709,7,Patrol,R7,0,587,10,R7(0,59)|HUB(0,59)|R4(0,59)|R2(0,58)|R5(0,58)|
81868,5,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
81998,3,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
82011,8,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
82231,0,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
82518,3,Patrol,R5,0,594,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
82522,4,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
82527,1,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
82531,4,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
82554,4,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
82561,2,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
82568,0,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
82575,0,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
82713,1,Patrol,R7,0,587,10,R7(0,59)|HUB(0,59)|R4(0,59)|R2(0,58)|R5(0,58)|
82788,1,Patrol,R7,0,587,10,R7(0,59)|HUB(0,59)|R4(0,59)|R2(0,58)|R5(0,58)|
82853,3,Patrol,R7,0,596,10,R7(0,60)|R2(0,59)|R4(0,59)|HUB(0,58)|EXIT(0,58)|
82874,4,Patrol,R7,0,596,10,R7(0,60)|R2(0,59)|R4(0,59)|HUB(0,58)|EXIT(0,58)|
82899,6,Patrol,HUB,0,587,10,HUB(0,59)|C1(0,58)|R7(0,58)|R2(0,58)|R1(0,58)|
82942,5,Patrol,R2,0,595,10,R2(0,59)|R7(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
83798,7,Patrol,R7,0,606,10,R7(0,61)|R2(0,58)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
83806,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
83914,6,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
84012,7,Patrol,R2,0,587,10,R2(0,59)|R7(0,59)|HUB(0,58)|C1(0,58)|R4(0,58)|
84021,7,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
84112,3,Patrol,R7,0,595,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
84333,0,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84334,5,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84336,0,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84337,5,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84384,1,Patrol,R2,0,588,10,R2(0,59)|R7(0,59)|HUB(0,58)|C1(0,58)|R4(0,58)|
84392,3,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
84482,9,Patrol,R7,0,595,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
84603,6,Patrol,R7,0,606,10,R7(0,61)|R2(0,58)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
84611,2,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
84620,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
84629,4,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
84638,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
84647,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
84656,2,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
84739,1,Patrol,R7,0,595,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
84829,0,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
84989,0,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84990,3,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84991,7,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84993,2,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84994,6,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84996,1,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84997,7,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
84999,3,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
85000,7,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
85088,9,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
85103,5,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
85120,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
85697,0,Patrol,R7,0,606,10,R7(0,61)|R2(0,58)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
85987,8,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
86018,6,Patrol,R5,0,589,10,R5(0,59)|HUB(0,59)|R4(0,58)|R7(0,58)|R6(0,58)|
86024,9,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
86029,4,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
86033,8,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
86038,2,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
86042,9,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
86047,3,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
86051,7,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
86128,5,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
86141,8,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
86380,6,Patrol,R7,0,595,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
86931,3,Patrol,R7,0,595,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
87101,3,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
87114,8,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
87131,0,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
87147,2,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
87266,1,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
87279,6,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
87296,0,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
87312,3,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
87489,7,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
87766,2,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
87779,4,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
87796,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
87812,1,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
88095,8,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
88202,4,Patrol,HUB,0,590,10,HUB(0,59)|R7(0,58)|R4(0,58)|R5(0,58)|R2(0,58)|
88217,2,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
88233,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
88250,3,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
88401,9,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
88418,8,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
88441,1,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
88449,9,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
88555,3,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
88615,6,Patrol,HUB,0,592,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
88628,8,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
88645,4,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
88661,6,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
88677,8,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
88694,6,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
88711,3,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
88727,6,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
88743,9,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
88760,3,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
88777,1,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
88816,7,Patrol,R2,0,595,10,R2(0,59)|R7(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
88929,3,Patrol,R4,0,592,10,R4(0,59)|R7(0,59)|R2(0,58)|HUB(0,58)|EXIT(0,58)|
89128,6,Patrol,HUB,0,588,10,HUB(0,59)|R7(0,59)|R4(0,58)|R2(0,58)|R5(0,58)|
89290,3,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
89291,9,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
89293,4,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
89828,0,Patrol,R5,0,594,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
89832,2,Patrol,R5,0,591,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
89836,6,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
89840,9,Patrol,R5,0,591,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
89858,7,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
90688,5,Patrol,R7,0,606,10,R7(0,61)|R2(0,58)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
91126,2,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
91166,3,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
91560,1,Patrol,R4,0,592,10,R4(0,59)|R7(0,59)|R2(0,58)|HUB(0,58)|EXIT(0,58)|
91953,0,Patrol,R1,0,597,10,R1(0,60)|HUB(0,58)|R3(0,58)|C1(0,57)|R7(0,57)|
91957,3,Patrol,R1,0,593,10,R1(0,59)|HUB(0,58)|R3(0,58)|C1(0,58)|R5(0,57)|
91963,0,Patrol,R1,0,594,10,R1(0,59)|HUB(0,58)|R3(0,58)|C1(0,58)|R5(0,57)|
91966,7,Patrol,R1,0,593,10,R1(0,59)|HUB(0,58)|R3(0,58)|C1(0,58)|R5(0,57)|
91991,9,Patrol,HUB,0,592,10,HUB(0,59)|R1(0,58)|R5(0,58)|C1(0,58)|R7(0,58)|
92093,7,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
92098,6,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
92103,5,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
92108,5,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
92113,2,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
92117,7,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
92122,3,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
92149,5,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
92172,4,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
92347,0,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
92369,8,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
92378,3,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
92386,8,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
92882,6,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
92934,4,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
92956,9,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
92965,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
92974,4,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
92982,9,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
92992,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
